Target,CS,AmountTypes,AmountNA,HighestRF,LowestRF,VarianceRF,AverageDistanceT-A,HighestDistanceT-A,LowestDistanceT-A,VarianceDistanceT-A,AverageDistanceA-A,HighestDistanceA-A,LowestDistanceA-A,VarianceDistanceA-A,VariancePOS
detain,2.74,92,24,0.1376811594202898,0.0036231884057971,0.08051059953284534,0.7591772151898734,1.117,0.159,0.07829469224683547,0.7676676403765011,1.1813589743589743,0.6065384615384616,0.05931318380063084,2150.23
lessen,2.23,120,41,0.0888030888030888,0.0038610038610038,0.04093760104093555,0.7047410714285716,1.063,0.179,0.05640555847029077,0.7599388674388674,1.0037657657657657,0.6041891891891892,0.027691886698636998,1295.96
augment,2.81,111,51,0.0923694779116465,0.0040160642570281,0.07024926919627981,0.765,1.101,0.343,0.077196444627193,0.7437753639417694,1.1134148936170214,0.5824574468085106,0.05674114223585928,1475.51
eradicate,3.0,93,31,0.104089219330855,0.0037174721189591,0.09538662171322804,0.7014931506849315,1.058,0.322,0.09560241484635319,0.7927484779299848,1.0422083333333332,0.6454027777777778,0.0722529845057672,2068.84
impede,2.73,93,50,0.232,0.004,0.07936785403797758,0.7362875000000001,1.112,0.067,0.0981081651234568,0.7828838607594937,1.0640253164556963,0.6034177215189872,0.05562949546047542,1574.99
contaminate,3.1,116,11,0.0726643598615917,0.0034602076124567,0.081850147173252,0.7813300970873787,1.134,0.308,0.07471831432038838,0.8127447173043975,1.0480882352941177,0.6854313725490196,0.057163504516990794,2961.51
wither,2.71,117,47,0.1264822134387351,0.0039525691699604,0.06203657158248065,0.826125,1.113,0.271,0.06451481282051283,0.829633495145631,1.0361650485436893,0.7016699029126214,0.038958128028814425,1115.38
evaporate,3.29,78,16,0.2007042253521127,0.0035211267605633,0.13662657274291096,0.7363478260869564,1.094,0.189,0.13296214409937887,0.7846624040920716,1.0220294117647055,0.6371911764705882,0.09646784346697759,3707.96
reconcile,1.79,142,30,0.0555555555555555,0.0037037037037037,0.022293382023220322,0.7251,1.031,0.345,0.030094423415977962,0.7446467787114845,1.0384789915966386,0.5720588235294118,0.017145729865354023,1787.96
shorten,3.11,118,25,0.1163636363636363,0.0036363636363636,0.08101757243028879,0.778207207207207,1.108,0.149,0.07326721549227799,0.8141644553644553,1.0200454545454545,0.6551545454545454,0.05432319473563291,1582.9
inject,4.28,99,11,0.1695501730103806,0.0034602076124567,0.18274479423078624,0.7919999999999999,1.093,0.25,0.15518940628192038,0.8366870428422153,1.0690000000000002,0.7017011494252874,0.13827150827899162,4833.34
detest,2.36,92,23,0.2924187725631769,0.003610108303249,0.0604037859992008,0.7852142857142856,1.2,0.188,0.07143078935574229,0.7851026965002871,0.965710843373494,0.6638915662650602,0.034990252316830346,1773.78
